mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.18832359314,0.0485420703888,0.80804127137,0.843919959501,0.045000000000000005,0.95,"{'alpha': 0.045000000000000005, 'l1_ratio': 0.95}",38,0.862501350014,0.837479420147,0.821819597015,0.844381388247,0.798057591356,0.840342461713,0.843668854485,0.839182834454,0.713923659137,0.858213692943,0.088366876329,0.0252423008856,0.0517209804303,0.00749990831269
0.248991441727,0.0666665554047,0.818357376674,0.859176948253,0.045000000000000005,0.96,"{'alpha': 0.045000000000000005, 'l1_ratio': 0.96}",31,0.872355616255,0.853207571401,0.831063528163,0.859979038077,0.813710485118,0.856097043623,0.85523292284,0.854602211832,0.719194315854,0.87199887633,0.109881457612,0.0399317559348,0.0534469437973,0.00679842148651
0.21362695694,0.0407059669495,0.827973176105,0.87555025749,0.045000000000000005,0.97,"{'alpha': 0.045000000000000005, 'l1_ratio': 0.97}",23,0.880891229001,0.870202639105,0.839652082398,0.876720461762,0.829764614687,0.873218833465,0.86668163864,0.871218532246,0.722653567665,0.886390820873,0.0430899027686,0.0141472219856,0.0557121391107,0.00585975420053
0.272739934921,0.0449992179871,0.835991917841,0.893516350296,0.045000000000000005,0.98,"{'alpha': 0.045000000000000005, 'l1_ratio': 0.98}",15,0.886630540628,0.888970119198,0.847020395936,0.895107299075,0.84557669553,0.892382673416,0.877797856924,0.889526949644,0.722721455011,0.901594710146,0.109734523922,0.0306275497806,0.058891498093,0.004596950596
0.259033584595,0.0310867786407,0.839592257144,0.914036543986,0.045000000000000005,0.99,"{'alpha': 0.045000000000000005, 'l1_ratio': 0.99}",3,0.885410644509,0.910444719513,0.851540508204,0.916180138129,0.857990850216,0.915076888505,0.888110263871,0.910509040921,0.714709823614,0.917971932862,0.0653716312367,0.0174863581574,0.0640463189914,0.00304988783699
0.207452630997,0.0540208816528,0.795029443078,0.826396802167,0.056000000000000008,0.95,"{'alpha': 0.056000000000000008, 'l1_ratio': 0.95}",42,0.849600160775,0.819537922759,0.810010613273,0.82646674579,0.779680042347,0.822417526321,0.829537918661,0.821544855393,0.706078646241,0.842016960569,0.0368686919122,0.021062466085,0.0500696220564,0.00812913883638
0.227951002121,0.04437251091,0.808272331769,0.844243386085,0.056000000000000008,0.96,"{'alpha': 0.056000000000000008, 'l1_ratio': 0.96}",37,0.862725498626,0.83781184493,0.822027934773,0.844712373901,0.79839628492,0.840674475826,0.84392336417,0.839509223809,0.714053373703,0.858509011962,0.0610827745225,0.0367142541044,0.0517542522925,0.00748655015011
0.255562162399,0.0524641990662,0.821011949584,0.863413783397,0.056000000000000008,0.97,"{'alpha': 0.056000000000000008, 'l1_ratio': 0.97}",27,0.874797416676,0.857594073852,0.833432037965,0.864310779923,0.817962478779,0.860502820865,0.85830160575,0.858895350061,0.720337913732,0.875765892286,0.0866867319887,0.015724910294,0.0539863343531,0.00657477237078
0.34082403183,0.0465407848358,0.832370483118,0.884484697333,0.056000000000000008,0.98,"{'alpha': 0.056000000000000008, 'l1_ratio': 0.98}",19,0.884332635768,0.879523753446,0.843633250549,0.885859339611,0.837960366373,0.882688307998,0.872423249387,0.880314978851,0.72328489655,0.894037106757,0.109152576995,0.0203149400886,0.057182599821,0.00526046952883
0.335236358643,0.064293384552,0.839492516639,0.908691905267,0.056000000000000008,0.99,"{'alpha': 0.056000000000000008, 'l1_ratio': 0.99}",4,0.886842149434,0.904861815093,0.850919826542,0.910680779543,0.855760279525,0.909051570682,0.885722590288,0.905038504286,0.718015058295,0.913826856732,0.102347126129,0.020483561695,0.0624699469636,0.00341963846371
0.259210443497,0.0608823299408,0.78189458294,0.809848450476,0.067000000000000004,0.95,"{'alpha': 0.067000000000000004, 'l1_ratio': 0.95}",45,0.8363029292,0.802699570929,0.797905991415,0.809550092497,0.762160119524,0.805613189679,0.815533646537,0.804948850249,0.697327401285,0.826430549025,0.0666558677427,0.0506581528688,0.0487523893761,0.00858026811861
0.350438117981,0.0422218799591,0.797883812802,0.830122127113,0.067000000000000004,0.96,"{'alpha': 0.067000000000000004, 'l1_ratio': 0.96}",41,0.852458014205,0.82334231847,0.812617739882,0.830275463725,0.783610916496,0.826214526017,0.832609727203,0.825289014856,0.707883672676,0.845489312497,0.0520817097993,0.018854831604,0.0503955661884,0.00800959455149
0.232449626923,0.0323313713074,0.813597037816,0.851926474283,0.067000000000000004,0.97,"{'alpha': 0.067000000000000004, 'l1_ratio': 0.97}",35,0.867862583254,0.845720092361,0.826808491258,0.852567445018,0.806335464471,0.848588946817,0.849837340601,0.847267368433,0.716908630189,0.865488518787,0.0750265850904,0.0287355575154,0.0525846295263,0.00715129957543
