,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
279,31253.5597654,4058.22366255,21545.5457032,325.452526663
280,31188.9738282,4070.15114456,21435.1027344,320.800477694
281,31125.5078124,4063.43212607,21330.3628906,325.504133914
282,31050.5277348,4074.67498118,21222.2734374,322.124600525
283,30989.6515628,4076.38923984,21114.2300782,321.674860688
284,30920.1152342,4073.65011256,21009.7261716,320.072515175
285,30855.6128906,4078.91493923,20906.7992186,318.60885123
286,30799.7230468,4082.57638147,20803.490625,311.90943903
287,30741.1484378,4082.86897061,20703.0636718,311.416239227
288,30683.6128908,4085.61068876,20604.0816406,306.657708054
289,30624.5824218,4086.44271366,20507.5882812,306.61938134
290,30570.8574218,4094.15185247,20408.7390624,305.799534569
291,30518.770703,4097.99045917,20310.4343748,305.957944042
292,30457.7921876,4097.10006088,20215.6914062,304.599753406
293,30399.1882812,4096.5233433,20122.6804688,302.969670467
294,30343.6558592,4097.77102046,20030.1140624,305.582036051
295,30293.6664062,4100.68005923,19939.8894532,307.714252828
296,30233.7058594,4098.98659009,19850.9421874,307.984920183
297,30168.3351562,4098.4020966,19760.5417968,305.695046917
298,30125.4652344,4105.44674517,19670.7597656,307.509298332
299,30073.767578,4116.80523698,19581.9332032,305.268067882
300,30010.0238282,4113.11399888,19490.7171876,308.35074253
301,29961.3675784,4117.07226218,19407.2898436,307.769538885
302,29907.2347658,4117.82129151,19320.605078,308.909012871
303,29858.9113282,4120.23347541,19232.114453,307.460840818
304,29812.3179688,4116.58284289,19149.8375,306.695638368
305,29772.8429688,4123.83277024,19070.4933594,307.212291429
306,29727.0566406,4120.57739388,18987.8152342,310.036660832
307,29686.4113282,4125.9123721,18906.8558592,308.782785098
308,29637.682422,4131.26079074,18825.0695314,310.236810087
309,29596.516797,4134.62814911,18750.640625,309.628837219
310,29541.7640624,4142.85214201,18668.1499998,309.368260969
311,29502.0273438,4156.05752938,18589.6453124,306.338206453
312,29456.1390624,4152.56853746,18512.2632812,308.316364688
313,29414.2261718,4159.16211499,18437.5359376,311.564926683
314,29373.0609376,4164.34343562,18363.008203,311.457488775
315,29329.6132812,4162.28680364,18293.6597656,310.734758371
316,29289.9957032,4169.47772543,18219.4605466,310.550797237
317,29252.763672,4167.20513649,18146.728125,310.032044614
318,29220.6621092,4164.81739313,18077.3347656,312.280662941
319,29185.81875,4169.17414656,18007.6187502,308.098867415
320,29139.6238282,4174.00827186,17938.015625,306.305999802
321,29102.8316408,4177.00924755,17868.6914064,306.128519489
322,29063.479297,4182.93592388,17799.8398438,307.991564451
323,29036.4394532,4185.01172729,17733.8261718,303.390601566
324,29004.1371096,4183.91161907,17668.5480468,300.325391399
325,28971.5777342,4196.08121154,17601.0074218,299.109875324
326,28936.3246092,4204.74569098,17534.6375002,298.320638625
327,28902.7761718,4202.50552742,17468.6218752,296.176496693
328,28874.560156,4210.36664677,17404.4335938,292.582770044
329,28844.645703,4217.42677083,17345.8851562,295.007272135
330,28814.6835938,4226.09763864,17285.0871096,297.903930422
331,28785.9335936,4230.22743414,17222.0640626,294.989311422
332,28758.9085936,4230.61595053,17160.2554686,294.221526272
333,28724.921875,4238.78937984,17097.9078124,294.316271181
334,28689.24375,4237.65135398,17035.1609374,293.357913492
335,28656.6277346,4240.11073499,16978.5835936,292.132051822
336,28622.298828,4247.99829348,16922.704297,292.220282658
337,28589.7957032,4247.68294962,16864.5589844,289.889080671
338,28564.1015624,4247.52272794,16807.2085938,287.045142426
339,28532.4207034,4257.82734564,16749.4429686,284.491697086
340,28503.6636718,4259.55802272,16690.486133,284.017367046
341,28475.3660158,4259.2334409,16632.8029296,284.677651078
342,28448.5898438,4264.48008248,16575.0066406,284.723648035
343,28425.3152344,4264.85400484,16520.5835938,285.200653437
344,28397.784375,4269.71781895,16467.399414,284.641836775
345,28370.4933592,4271.19007688,16413.9140628,283.973182168
346,28338.603906,4266.66092026,16359.9570312,283.876037493
347,28312.6859374,4268.80391002,16307.1507812,280.57109614
348,28288.384375,4269.21090106,16253.9173828,276.862975226
349,28264.2261718,4273.24215701,16200.4134766,275.546812575
350,28239.282031,4269.67127216,16148.8558592,275.533980336
351,28210.5101562,4271.06066488,16094.8078128,279.113620273
352,28185.9847656,4273.55232303,16046.0628908,277.491831395
353,28156.8386718,4279.80141198,15997.9277342,277.178899655
354,28135.6457032,4277.11130235,15946.065039,277.754990852
355,28116.6101562,4287.52507991,15897.03125,281.172200621
356,28092.4296874,4284.62218983,15846.1279298,280.755936398
357,28078.2402342,4292.09357762,15796.919336,282.340737723
358,28057.2976562,4297.02142996,15750.2958982,280.653627796
359,28037.0308594,4299.76463311,15703.5935544,280.430682306
360,28020.191797,4302.95483564,15657.4398436,280.334306115
361,27998.7972654,4308.11952028,15610.9968752,279.813043727
362,27973.238672,4307.16639988,15565.4064454,277.082628951
363,27951.9273436,4314.37490107,15518.6322266,276.371988568
364,27937.1972656,4319.96379756,15472.5240236,275.343108775
365,27918.789453,4319.95908583,15426.6822266,276.535787171
366,27904.8664062,4329.26152701,15383.7402344,274.604515218
367,27884.2035154,4336.16877054,15337.9935546,272.928684397
368,27864.9433594,4335.76073859,15294.7861328,269.197476363
369,27850.2226562,4339.95989728,15251.2310546,265.913849629
370,27825.0839844,4349.39104742,15210.2394532,267.066881106
371,27806.6292968,4356.80458933,15169.4259764,266.027792289
372,27788.1300782,4360.55582581,15125.516211,265.34816517
373,27778.2851562,4366.69489533,15083.9472656,265.90408894
374,27761.3917968,4372.38303649,15043.0884764,264.158577014
375,27739.8308592,4377.43385655,15000.326953,267.217455321
376,27729.7617186,4381.41042417,14962.516797,267.230911317
377,27712.9992188,4392.51103754,14922.5140628,269.057520307
378,27688.459375,4389.22613213,14881.375,269.494314165
379,27679.6878906,4397.31873792,14843.5117188,269.811463525
380,27656.4574218,4400.45373505,14806.1253904,270.686005918
381,27640.8359376,4400.99193166,14766.092383,269.432548413
382,27626.548047,4412.4139892,14729.3582032,269.163690081
383,27609.9464844,4411.24507491,14689.6349608,273.317771501
384,27595.2828128,4412.89460935,14652.1552734,273.411676495
385,27579.203125,4415.70024157,14616.6804688,271.685636726
386,27568.9289062,4421.16368652,14579.492578,270.640148288
387,27556.3988282,4423.83151475,14543.0628906,272.977073314
388,27547.4605468,4429.60867306,14506.6498044,274.974276929
389,27528.6624998,4432.02127269,14473.3708984,275.46457112
390,27507.8917968,4429.174628,14437.2214844,277.808007671
391,27495.3519528,4436.30963657,14402.1998046,278.361291786
392,27481.61875,4433.56332401,14367.0308592,275.886264357
393,27463.2820314,4434.60325782,14332.8193358,278.711551698
394,27455.961719,4444.18680657,14299.2960936,280.298226495
395,27440.7234372,4450.67712606,14266.9699218,279.587626918
396,27432.2117188,4448.36228553,14233.8546874,279.42635469
397,27420.28125,4451.98226469,14202.2486328,278.114908897
398,27400.6085936,4445.20533083,14169.6681642,279.877794467
399,27384.655078,4451.60875047,14135.9796874,280.4007125
400,27375.2148436,4454.82789286,14104.3218748,280.788062672
401,27366.5824216,4452.89890541,14072.4951172,279.462325978
402,27353.7421874,4450.155943,14043.294531,276.831106808
403,27348.5242188,4455.48621684,14011.1515628,275.457954499
404,27334.5660154,4450.55407997,13981.5765626,273.04182771
405,27324.6753906,4456.81342273,13952.2117186,274.501642143
406,27319.7675782,4463.5302113,13921.765625,275.385258952
407,27311.15625,4474.66621349,13893.0361328,273.786889853
408,27299.1632812,4476.91657207,13862.7597656,274.233166953
